Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
MSFT,2021-03-17,236.1500,238.5500,233.2300,237.0400,229.2000,29562100
MSFT,2021-03-16,236.2800,240.0600,235.9400,237.7100,229.8400,28092200
MSFT,2021-03-15,234.9600,235.1900,231.8100,234.8100,227.0400,26042669
MSFT,2021-03-12,234.0100,235.8200,233.2300,235.7500,227.9500,22653700
MSFT,2021-03-11,234.9600,239.1700,234.3100,237.1300,229.2800,29907600
MSFT,2021-03-10,237.0000,237.0000,232.0400,232.4200,224.7300,29746812
MSFT,2021-03-09,232.8800,235.3800,231.6700,233.7800,226.0400,33080531
MSFT,2021-03-08,231.3700,233.3700,227.1300,227.3900,219.8600,35267440
MSFT,2021-03-05,229.5200,233.2700,226.4600,231.6000,223.9400,41872800
MSFT,2021-03-04,226.7400,232.4900,224.2600,226.7300,219.2300,44727800
MSFT,2021-03-03,232.1600,233.5800,227.2600,227.5600,220.0300,34029526
MSFT,2021-03-02,237.0100,237.3000,233.4500,233.8700,226.1300,22812500
MSFT,2021-03-01,235.9000,237.4700,233.1500,236.9400,229.1000,25332837
MSFT,2021-02-26,231.5300,235.3700,229.5400,232.3800,224.6900,37819227
MSFT,2021-02-25,232.0800,234.5900,227.8800,228.9900,221.4100,39542235
MSFT,2021-02-24,230.0100,235.2000,229.0000,234.5500,226.7900,26339746
